"ExchNameCME","GroupNameCME","ExchCodeDDF","GroupNameDDF","IsIgnoreDDF","FutureDisplay","FutureReference","OptionDisplay","OptionReference","SpreadDisplay","SpreadReference","StrikeHack","Comment"
"XOCH","AXP1C","3","AXP1C","Y","0","0","0","0","0","0","0",
"XOCH","AXS1C","3","AXS1C","Y","0","0","0","0","0","0","0",
"XOCH","AYE1C","3","AYE1C","Y","0","0","0","0","0","0","0",
"XOCH","AYI1C","3","AYI1C","Y","0","0","0","0","0","0","0",
"XOCH","AYR1C","3","AYR1C","Y","0","0","0","0","0","0","0",
"XOCH","AZ1C","3","AZ1C","Y","0","0","0","0","0","0","0",
"XOCH","AZN1C","3","AZN1C","Y","0","0","0","0","0","0","0",
"XOCH","AZO1C","3","AZO1C","Y","0","0","0","0","0","0","0",
"XCME","B0A","M","B0A","Y","0","0","0","0","0","0","0","New 2009-12-21"
"XCME","B0B","M","B0B","Y","0","0","0","0","0","0","0","New 2009-12-21"
"XCME","B0C","M","B0C","Y","0","0","0","0","0","0","0","New 2009-12-21"
"XCME","B0D","M","B0D","Y","0","0","0","0","0","0","0","New 2009-12-21"
"XCME","1K","M","B1","N","0","0","0","0","0","0","0","original:|M1K       B1    M10  OYY    EY|"
"XOCH","B1C","3","B1C","Y","0","0","0","0","0","0","0",
"XCME","2K","M","B2","N","0","0","0","0","0","0","0","original:|M2K       B2    M10  OYY    EY|"
"XCME","3K","M","B3","N","0","0","0","0","0","0","0","original:|M3K       B3    M10  OYY    EY|"
"XCME","4K","M","B4","N","0","0","0","0","0","0","0","original:|M4K       B4    M10  OYY    EY|"
"XCME","5K","M","B5","N","0","0","0","0","0","0","0","original:|M5K       B5    M10  OYY    EY|"
"XCME","6B","M","B6","N","0","0","0","0","0","0","0","original:|M6B       B6    M10   YY6   EY|"
"XOCH","BA1C","3","BA1C","Y","0","0","0","0","0","0","0",
"XOCH","BAC1C","3","BAC1C","Y","0","0","0","0","0","0","0",
"XOCH","BANR1C","3","BANR1C","Y","0","0","0","0","0","0","0",
"XOCH","BAP1C","3","BAP1C","Y","0","0","0","0","0","0","0",
"XOCH","BAX1C","3","BAX1C","Y","0","0","0","0","0","0","0",
"XOCH","BBBB1C","3","BBBB1C","Y","0","0","0","0","0","0","0",
"XOCH","BBBY1C","3","BBBY1C","Y","0","0","0","0","0","0","0",
"XOCH","BBD1C","3","BBD1C","Y","0","0","0","0","0","0","0",
"XOCH","BBL1C","3","BBL1C","Y","0","0","0","0","0","0","0",
"XNYM","BBT","J","BBT","Y","0","0","0","0","0","0","0",
"XOCH","BBT1C","3","BBT1C","Y","0","0","0","0","0","0","0",
"XOCH","BBY1C","3","BBY1C","Y","0","0","0","0","0","0","0",
"XCME","MMX","M","BC","N","0","0","0","0","0","0","0","original:|MMMX      BC    M10  $YY    EY  $MMX  pI|"
"XOCH","BC1C","3","BC1C","Y","0","0","0","0","0","0","0",
"XCBT","SC5","b","BC5","N","0","0","0","0","0","0","0","original:|BSC5      BC5   b10   YY    EY|"
"XCBT","CC6","b","BC6","N","0","0","0","0","0","0","0","original:|BCC6      BC6   b10   YY    EY|"
"XOCH","BCR1C","3","BCR1C","Y","0","0","0","0","0","0","0",
"XOCH","BCRX1C","3","BCRX1C","Y","0","0","0","0","0","0","0",
"XOCH","BCS1C","3","BCS1C","Y","0","0","0","0","0","0","0",
"XOCH","BCSI1C","3","BCSI1C","Y","0","0","0","0","0","0","0",
"XCME","CB","M","BD","N","0","0","0","1","0","0","0","original:|MCB       BD    M10   YY    EY|"
"XOCH","BDK1C","3","BDK1C","Y","0","0","0","0","0","0","0",
"XOCH","BDN1C","3","BDN1C","Y","0","0","0","0","0","0","0",
"XOCH","BDSI1C","3","BDSI1C","Y","0","0","0","0","0","0","0",
"XOCH","BDX1C","3","BDX1C","Y","0","0","0","0","0","0","0",
"XOCH","BEBE1C","3","BEBE1C","Y","0","0","0","0","0","0","0",
"XOCH","BECN1C","3","BECN1C","Y","0","0","0","0","0","0","0",
"XOCH","BEE1C","3","BEE1C","Y","0","0","0","0","0","0","0",
"XOCH","BEN1C","3","BEN1C","Y","0","0","0","0","0","0","0",
"XOCH","BEZ1C","3","BEZ1C","Y","0","0","0","0","0","0","0",
"XOCH","BFB1C","3","BFB1C","Y","0","0","0","0","0","0","0",
"XOCH","BFIN1C","3","BFIN1C","Y","0","0","0","0","0","0","0",
